Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TGSRTC - 8678,Super Luxury (Non AC Seater 2+2 Push Back),01:00,04h 20m,05:20,3.8,INR 320,31 Seats available
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TGSRTC - 8626,RAJDHANI (A.C. Semi Sleeper),04:00,04h 00m,08:00,4.2,INR 389,37 Seats available
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TGSRTC - 8703,Super Luxury (Non AC Seater 2+2 Push Back),04:00,04h 45m,08:45,3.1,INR 320,31 Seats available
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TGSRTC - 4173,Rajdhani (AC Semi Sleeper 2+2),04:30,05h 00m,09:30,4.0,INR 389,30 Seats available
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TGSRTC - 8823,Super Luxury (Non AC Seater 2+2 Push Back),04:30,04h 15m,08:45,4.6,INR 320,31 Seats available
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TGSRTC - 1318,LAHARI A/C SLEEPER CUM SEATER,04:40,05h 00m,09:40,4.2,INR 389,42 Seats available
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TGSRTC - 4167,Rajdhani (AC Semi Sleeper 2+2),05:00,03h 30m,08:30,3.8,INR 389,31 Seats available
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TGSRTC - 64023,RAJDHANI (A.C. Semi Sleeper),05:30,05h 00m,10:30,3.7,INR 389,37 Seats available
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TGSRTC - 1951,LAHARI A/C SLEEPER CUM SEATER,05:35,05h 25m,11:00,3.8,INR 389,38 Seats available
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TGSRTC - 8809,Super Luxury (Non AC Seater 2+2 Push Back),05:45,05h 55m,11:40,3.6,INR 320,29 Seats available
